codigo,campo_experiencias,grupo_etario,alinhamento,texto,vigencia_status,fonte_localizador
EI02ET06,ei-campo-et,ei-grupo-02,ei-align-et-06,"Utilizar conceitos básicos de tempo (agora, antes, durante, depois, ontem, hoje, amanhã, lento, rápido, depressa, devagar).",vigente,página PDF 53
EI02ET07,ei-campo-et,ei-grupo-02,ei-align-et-07,"Contar oralmente objetos, pessoas, livros etc., em contextos diversos.",vigente,página PDF 54
EI02ET08,ei-campo-et,ei-grupo-02,ei-align-et-08,"Registrar com números a quantidade de crianças (meninas e meninos, presentes e ausentes) e a quantidade de objetos da mesma natureza (bonecas, bolas, livros etc.).",vigente,página PDF 54
EI02TS01,ei-campo-ts,ei-grupo-02,ei-align-ts-01,"Criar sons com materiais, objetos e instrumentos musicais, para acompanhar diversos ritmos de música.",vigente,página PDF 50
EI02TS02,ei-campo-ts,ei-grupo-02,ei-align-ts-02,"Utilizar materiais variados com possibilidades de manipulação (argila, massa de modelar), explorando cores, texturas, superfícies, planos, formas e volumes ao criar objetos tridimensionais.",vigente,página PDF 50
EI02TS03,ei-campo-ts,ei-grupo-02,ei-align-ts-03,"Utilizar diferentes fontes sonoras disponíveis no ambiente em brincadeiras cantadas, canções, músicas e melodias.",vigente,página PDF 50
EI03CG01,ei-campo-cg,ei-grupo-03,ei-align-cg-01,"Criar com o corpo formas diversificadas de expressão de sentimentos, sensações e emoções, tanto nas situações do cotidiano quanto em brincadeiras, dança, teatro, música.",vigente,página PDF 49
EI03CG02,ei-campo-cg,ei-grupo-03,ei-align-cg-02,"Demonstrar controle e adequação do uso de seu corpo em brincadeiras e jogos, escuta e reconto de histórias, atividades artísticas, entre outras possibilidades.",vigente,página PDF 49
EI03CG03,ei-campo-cg,ei-grupo-03,ei-align-cg-03,"Criar movimentos, gestos, olhares e mímicas em brincadeiras, jogos e atividades artísticas como dança, teatro e música.",vigente,página PDF 49
EI03CG04,ei-campo-cg,ei-grupo-03,ei-align-cg-04,"Adotar hábitos de autocuidado relacionados a higiene, alimentação, conforto e aparência.",vigente,página PDF 49
EI03CG05,ei-campo-cg,ei-grupo-03,ei-align-cg-05,Coordenar suas habilidades manuais no atendimento adequado a seus interesses e necessidades em situações diversas.,vigente,página PDF 49
EI03EF01,ei-campo-ef,ei-grupo-03,ei-align-ef-01,"Expressar ideias, desejos e sentimentos sobre suas vivências, por meio da linguagem oral e escrita (escrita espontânea), de fotos, desenhos e outras formas de expressão.",vigente,página PDF 51
EI03EF02,ei-campo-ef,ei-grupo-03,ei-align-ef-02,"Inventar brincadeiras cantadas, poemas e canções, criando rimas, aliterações e ritmos.",vigente,página PDF 51
EI03EF03,ei-campo-ef,ei-grupo-03,ei-align-ef-03,"Escolher e folhear livros, procurando orientar-se por temas e ilustrações e tentando identificar palavras conhecidas.",vigente,página PDF 51
EI03EF04,ei-campo-ef,ei-grupo-03,ei-align-ef-04,"Recontar histórias ouvidas e planejar coletivamente roteiros de vídeos e de encenações, definindo os contextos, os personagens, a estrutura da história.",vigente,página PDF 51
EI03EF05,ei-campo-ef,ei-grupo-03,ei-align-ef-05,"Recontar histórias ouvidas para produção de reconto escrito, tendo o professor como escriba.",vigente,página PDF 51
EI03EF06,ei-campo-ef,ei-grupo-03,ei-align-ef-06,"Produzir suas próprias histórias orais e escritas (escrita espontânea), em situações com função social significativa.",vigente,página PDF 52
EI03EF07,ei-campo-ef,ei-grupo-03,ei-align-ef-07,"Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégias de observação gráfica e/ou de leitura.",vigente,página PDF 52
EI03EF08,ei-campo-ef,ei-grupo-03,ei-align-ef-08,"Selecionar livros e textos de gêneros conhecidos para a leitura de um adulto e/ou para sua própria leitura (partindo de seu repertório sobre esses textos, como a recuperação pela memória, pela leitura das ilustrações etc.).",vigente,página PDF 52
EI03EF09,ei-campo-ef,ei-grupo-03,ei-align-ef-09,"Levantar hipóteses em relação à linguagem escrita, realizando registros de palavras e textos, por meio de escrita espontânea.",vigente,página PDF 52
EI03EO01,ei-campo-eo,ei-grupo-03,ei-align-eo-01,"Demonstrar empatia pelos outros, percebendo que as pessoas têm diferentes sentimentos, necessidades e maneiras de pensar e agir.",vigente,página PDF 47
EI03EO02,ei-campo-eo,ei-grupo-03,ei-align-eo-02,"Agir de maneira independente, com confiança em suas capacidades, reconhecendo suas conquistas e limitações.",vigente,página PDF 47
EI03EO03,ei-campo-eo,ei-grupo-03,ei-align-eo-03,"Ampliar as relações interpessoais, desenvolvendo atitudes de participação e cooperação.",vigente,página PDF 47
EI03EO04,ei-campo-eo,ei-grupo-03,ei-align-eo-04,Comunicar suas ideias e sentimentos a pessoas e grupos diversos.,vigente,página PDF 47
EI03EO05,ei-campo-eo,ei-grupo-03,ei-align-eo-05,Demonstrar valorização das características de seu corpo e respeitar as características dos outros (crianças e adultos) com os quais convive.,vigente,página PDF 47
EI03EO06,ei-campo-eo,ei-grupo-03,ei-align-eo-06,Manifestar interesse e respeito por diferentes culturas e modos de vida.,vigente,página PDF 48
EI03EO07,ei-campo-eo,ei-grupo-03,ei-align-eo-07,Usar estratégias pautadas no respeito mútuo para lidar com conflitos nas interações com crianças e adultos.,vigente,página PDF 48
EI03ET01,ei-campo-et,ei-grupo-03,ei-align-et-01,"Estabelecer relações de comparação entre objetos, observando suas propriedades.",vigente,página PDF 53
EI03ET02,ei-campo-et,ei-grupo-03,ei-align-et-02,"Observar e descrever mudanças em diferentes materiais, resultantes de ações sobre eles, em experimentos envolvendo fenômenos naturais e artificiais.",vigente,página PDF 53
EI03ET03,ei-campo-et,ei-grupo-03,ei-align-et-03,"Identificar e selecionar fontes de informações, para responder a questões sobre a natureza, seus fenômenos, sua conservação.",vigente,página PDF 53
EI03ET04,ei-campo-et,ei-grupo-03,ei-align-et-04,"Registrar observações, manipulações e medidas, usando múltiplas linguagens (desenho, registro por números ou escrita espontânea), em diferentes suportes.",vigente,página PDF 53
EI03ET05,ei-campo-et,ei-grupo-03,ei-align-et-05,Classificar objetos e figuras de acordo com suas semelhanças e diferenças.,vigente,página PDF 53
EI03ET06,ei-campo-et,ei-grupo-03,ei-align-et-06,"Relatar fatos importantes sobre seu nascimento e desenvolvimento, a história dos seus familiares e da sua comunidade.",vigente,página PDF 53
EI03ET07,ei-campo-et,ei-grupo-03,ei-align-et-07,"Relacionar números às suas respectivas quantidades e identificar o antes, o depois e o entre em uma sequência.",vigente,página PDF 54
EI03ET08,ei-campo-et,ei-grupo-03,ei-align-et-08,"Expressar medidas (peso, altura etc.), construindo gráficos básicos.",vigente,página PDF 54
EI03TS01,ei-campo-ts,ei-grupo-03,ei-align-ts-01,"Utilizar sons produzidos por materiais, objetos e instrumentos musicais durante brincadeiras de faz de conta, encenações, criações musicais, festas.",vigente,página PDF 50
EI03TS02,ei-campo-ts,ei-grupo-03,ei-align-ts-02,"Expressar-se livremente por meio de desenho, pintura, colagem, dobradura e escultura, criando produções bidimensionais e tridimensionais.",vigente,página PDF 50
EI03TS03,ei-campo-ts,ei-grupo-03,ei-align-ts-03,"Reconhecer as qualidades do som (intensidade, duração, altura e timbre), utilizando-as em suas produções sonoras e ao ouvir músicas e sons.",vigente,página PDF 50
