id,etapa,tipo,nome,componente
ef-comp-ef-oc-dancas-de-matriz-indigena-e-africana,EF,oc,Danças de matriz indígena e africana,ef-comp-ef
ef-comp-ef-oc-dancas-de-salao,EF,oc,Danças de salão,ef-comp-ef
ef-comp-ef-oc-dancas-do-brasil-e-do-mundo,EF,oc,Danças do Brasil e do mundo,ef-comp-ef
ef-comp-ef-oc-dancas-do-contexto-comunitario-e-regional,EF,oc,Danças do contexto comunitário e regional,ef-comp-ef
ef-comp-ef-oc-dancas-urbanas,EF,oc,Danças urbanas,ef-comp-ef
ef-comp-ef-oc-esportes-de-campo-e-taco,EF,oc,Esportes de campo e taco,ef-comp-ef
ef-comp-ef-oc-esportes-de-campo-e-taco-esportes-de-rede-parede-esportes-de-invasao,EF,oc,Esportes de campo e taco Esportes de rede/parede Esportes de invasão,ef-comp-ef
ef-comp-ef-oc-esportes-de-combate,EF,oc,Esportes de combate,ef-comp-ef
ef-comp-ef-oc-esportes-de-invasao,EF,oc,Esportes de invasão,ef-comp-ef
ef-comp-ef-oc-esportes-de-marca,EF,oc,Esportes de marca,ef-comp-ef
ef-comp-ef-oc-esportes-de-marca-esportes-de-precisao,EF,oc,Esportes de marca Esportes de precisão,ef-comp-ef
ef-comp-ef-oc-esportes-de-precisao,EF,oc,Esportes de precisão,ef-comp-ef
ef-comp-ef-oc-esportes-de-rede-parede,EF,oc,Esportes de rede/parede,ef-comp-ef
ef-comp-ef-oc-esportes-tecnico-combinatorios,EF,oc,Esportes técnico-combinatórios,ef-comp-ef
ef-comp-ef-oc-ginastica-de-condicionamento-fisico,EF,oc,Ginástica de condicionamento físico,ef-comp-ef
ef-comp-ef-oc-ginastica-de-conscientizacao-corporal,EF,oc,Ginástica de conscientização corporal,ef-comp-ef
ef-comp-ef-oc-ginastica-geral,EF,oc,Ginástica geral,ef-comp-ef
ef-comp-ef-oc-jogos-eletronicos,EF,oc,Jogos eletrônicos,ef-comp-ef
ef-comp-ef-oc-lutas-de-matriz-indigena-e-africana,EF,oc,Lutas de matriz indígena e africana,ef-comp-ef
ef-comp-ef-oc-lutas-do-brasil,EF,oc,Lutas do Brasil,ef-comp-ef
ef-comp-ef-oc-lutas-do-contexto-comunitario-e-regional,EF,oc,Lutas do contexto comunitário e regional,ef-comp-ef
ef-comp-ef-oc-lutas-do-mundo,EF,oc,Lutas do mundo,ef-comp-ef
ef-comp-ef-oc-praticas-corporais-de-aventura-na-natureza,EF,oc,Práticas corporais de aventura na natureza,ef-comp-ef
ef-comp-ef-oc-praticas-corporais-de-aventura-urbanas,EF,oc,Práticas corporais de aventura urbanas,ef-comp-ef
ef-comp-ef-ut-brincadeiras-e-jogos,EF,ut,Brincadeiras e jogos,ef-comp-ef
ef-comp-ef-ut-dancas,EF,ut,Danças,ef-comp-ef
ef-comp-ef-ut-esportes,EF,ut,Esportes,ef-comp-ef
ef-comp-ef-ut-ginasticas,EF,ut,Ginásticas,ef-comp-ef
ef-comp-ef-ut-lutas,EF,ut,Lutas,ef-comp-ef
ef-comp-ef-ut-praticas-corporais-de-aventura,EF,ut,Práticas corporais de aventura,ef-comp-ef
ef-comp-er-oc-alimentos-sagrados,EF,oc,Alimentos sagrados,ef-comp-er
ef-comp-er-oc-ancestralidade-e-tradicao-oral,EF,oc,Ancestralidade e tradição oral,ef-comp-er
ef-comp-er-oc-crencas-conviccoes-e-atitudes,EF,oc,"Crenças, convicções e atitudes",ef-comp-er
ef-comp-er-oc-crencas-filosofias-de-vida-e-esfera-publica,EF,oc,"Crenças, filosofias de vida e esfera pública",ef-comp-er
ef-comp-er-oc-doutrinas-religiosas,EF,oc,Doutrinas religiosas,ef-comp-er
ef-comp-er-oc-ensinamentos-da-tradicao-escrita,EF,oc,Ensinamentos da tradição escrita,ef-comp-er
ef-comp-er-oc-espacos-e-territorios-religiosos,EF,oc,Espaços e territórios religiosos,ef-comp-er
ef-comp-er-oc-ideia-s-de-divindade-s,EF,oc,Ideia(s) de divindade(s),ef-comp-er
